"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_001039655"	"miR-125a-5p"	1000	"180-211"	"206-211"	"offset-6mer"	0	0	0	0	"206-211"	"205-205"	"180-202"	0.7698	0.8559	0.7839	-19.7	1.0825	-0.765	3.0131	14.69	0.6171	0.439	2.1711	0.225	0.298	0.422	0.8271	0.511	0.5247	0.18	3.0627	0.35	0.5213	0.467	0.2799
"NM_001039655"	"miR-125b-5p"	1000	"189-211"	"206-211"	"offset-6mer"	0	0	0	0	"206-211"	"205-205"	"189-202"	0.7698	0.8559	0.7839	-18.9	1.622	-0.78	3.0131	11.178	0.6171	0.312	0.6729	0.554	1.6395	0.422	0.8271	0.511	0.5247	0.18	3.0627	0.45	0.755	0.467	0.2799
"NM_001039655"	"miR-344"	1000	"4-33"	"28-33"	"6mer"	0	0	0	0	"28-33"	"26-27"	"4-11"	0.8925	0.8559	0.97	-15.2	1.4751	-0.059	0.4056	3.159	0.6171	0.429	2.1711	0.309	0.6157	0.371	0.7936	0.185	0.9036	0	0.3974	0	0	0.333	2.251
"NM_001039655"	"miR-351"	1000	"191-211"	"206-211"	"offset-6mer"	0	0	0	0	"206-211"	"203-205"	"191-202"	0.7698	0.8559	0.7839	-19.4	1.0825	-0.765	3.0131	10.735	0.6171	0.247	0.2322	0.554	1.6395	0.422	0.8271	0.511	0.5247	0.19	3.0627	0.5	1.4985	0.467	0.2799
"NM_007759"	"miR-103"	900	"131-144"	"139-144"	"6mer"	0	0	0	0	"139-144"	"135-136"	"131-134"	0.8925	0.8559	0.97	-21.3	0.9612	-1.32	1.9841	-10.563	0.6011	0.5	2.1218	0.469	2.0233	0.585	0.4523	0.368	2.0718	0.14	3.0627	0.7	3.3742	0.567	3.944
"NM_007759"	"miR-107"	900	"128-144"	"139-144"	"6mer"	0	0	0	0	"139-144"	"135-136"	"128-134"	0.8925	0.8559	0.97	-22.9	0.6213	-1.32	1.9841	-11.83	1.244	0.562	2.1875	0.382	0.6612	0.585	0.4523	0.368	2.0718	0.14	3.0627	0.7	3.3742	0.567	3.944
"NM_007759"	"miR-153"	900	"134-152"	"147-152"	"offset-6mer"	0	0	0	0	"147-152"	"142-146"	"134-140"	0.7698	0.8559	0.7839	-16.3	2.1417	-1.332	1.9841	-3.107	0.746	0.488	2.1218	0.456	2.0233	0.623	0.3911	0.434	1.6041	0.14	3.0627	0.65	3.8077	0.567	3.944
"NM_007759"	"miR-15a"	900	"130-144"	"139-144"	"offset-6mer"	0	0	0	0	"139-144"	"0-0"	"130-135"	0.7698	0.8559	0.7839	-20.2	0.8993	-1.338	1.9841	-9.447	1.3313	0.53	1.7677	0.451	2.0233	0.585	0.4523	0.368	2.0718	0.14	3.0627	0.7	3.3742	0.567	3.944
"NM_007759"	"miR-15b"	900	"130-144"	"139-144"	"offset-6mer"	0	0	0	0	"139-144"	"0-0"	"130-135"	0.7698	0.8559	0.7839	-20.2	0.8993	-1.338	1.9841	-9.447	1.3313	0.53	1.7677	0.451	2.0233	0.585	0.4523	0.368	2.0718	0.14	3.0627	0.7	3.3742	0.567	3.944
"NM_007759"	"miR-16"	900	"132-144"	"139-144"	"offset-6mer"	0	0	0	0	"139-144"	"0-0"	"132-135"	0.7698	0.8559	0.7839	-18.9	1.622	-0.871	3.0131	-8.159	1.166	0.509	1.7677	0.442	0.7689	0.585	0.4523	0.368	2.0718	0.14	3.0627	0.7	3.3742	0.567	3.944
